행정구역별(읍면동),2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명)
강화군,62291,31298,30993,62741,31592,31149,63737,32025,31712,64432,32378,32054,65235,32781,32454
옹진군,18642,10627,8015,18905,10827,8078,19294,11004,8290,19207,10983,8224,19040,10926,8114
광주광역시,1502881,748867,754014,1501557,747303,754254,1496172,745122,751050,1490092,741728,748364,1489730,741287,748443
동구,104173,52286,51887,101293,50763,50530,100914,50531,50383,99870,49942,49928,103754,51747,52007
서구,305512,151010,154502,309176,152661,156515,306054,151371,154683,302189,149109,153080,298033,147067,150966
남구,221759,107673,114086,220733,106966,113767,219256,106202,113054,217345,105079,112266,217972,105267,112705
북구,459715,229791,229924,453155,226055,227100,450323,224448,225875,450023,224400,225623,446661,222727,223934
광산구,411722,208107,203615,417200,210858,206342,419625,212570,207055,420665,213198,207467,423310,214479,208831
대전광역시,1538394,772243,766151,1535445,770971,764474,1525849,765718,760131,1511214,758035,753179,1498839,751585,747254
동구,247975,125189,122786,243612,122826,120786,239752,121017,118735,237297,119833,117464,237273,119605,117668
중구,250434,123975,126459,246904,122142,124762,243540,120356,123184,239284,117939,121345,234995,115835,119160
서구,491507,242100,249407,491430,242008,249422,487449,239928,247521,484492,238128,246364,480920,236242,244678
유성구,350015,180320,169695,359057,185416,173641,366639,188954,177685,365833,188741,177092,366544,189078,177466
대덕구,198463,100659,97804,194442,98579,95863,188469,95463,93006,184308,93394,90914,179107,90825,88282
울산광역시,1166615,606924,559691,1166033,605618,560415,1157077,600093,556984,1150116,595795,554321,1143692,591965,551727
읍부,154247,81063,73184,153175,80504,72671,152775,80370,72405,170611,89508,81103,171448,89957,81491
면부,68492,35791,32701,68931,35921,33010,69389,36262,33127,54223,28658,25565,55053,29048,26005
동부,943876,490070,453806,943927,489193,454734,934913,483461,451452,925282,477629,447653,917191,472960,444231
